"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2012,197.887495010809,373.740175388613,30.9397665570331,74.5339554151762,915.9701,1.53116312291018,0.306232624582037,0.234439577468082,1.68573322666136,101.143993599682,0.670888109546689,60,0.312247808517154,0.765560422531918,1.10094946870024,330.284840610071,1.46051956517773,300,0.687752191482846,431.428834209753,1.80231576515933,0.194696706692748,0.65186990338903,1.92151438156545,53.4597198090243,0.354598321493258,27.82166,0.297424569727284,3.34813009661097,1.06613636672905,274.57947654651,1.21419044528867,257.5463,0.702575430272716,328.039196355535,1.39019251009509,0.55,0.55,0.3,0.3,1,4,384.446234164311,73.0789319681043,0.997386991656453,0.986253750698558,382.2459,0.995459492724606,0,9.9,0,0,0,0,0,0,0,0,0,0,0,3002,60,452.891634631308,541.752317548307
2017,203.034882979444,381.542795650407,33.6216623796098,80.9222783752293,895.505896986735,1.52602497263605,0.30910534355589,0.236119533907237,1.68140560855164,104.118329435837,0.690616879147906,61.923386544145,0.310265281473854,0.763880466092763,1.10182050667702,336.837688530645,1.48949625868251,305.710128364295,0.689734718526146,440.956017966482,1.80123665322927,0.195020884370048,0.652778162861489,1.92055147556519,58.1311091140186,0.385583646753285,30.2679255690929,0.28241579261088,3.34722183713851,1.06624050322428,298.076328090668,1.31809352281693,279.558248996633,0.71758420738912,356.207437204687,1.65080300040278,0.55,0.55,0.3,0.3,1,4,392.935907609932,79.3541118232741,0.992465822618088,0.982392435752797,402.710103013265,0.993376288643539,0,9.9,0,0,0,0,0,0,0,0,-4.18761458991932,0,0,3002,60,452.891634631308,541.752317548307
2022,208.50777008703,389.378249447988,36.2504685921115,87.4317425504964,873.567330560258,1.46769953286526,0.800245957930666,0.444520347014431,1.6327231961163,225.469911794907,4.48662577480685,124.28494989114,0.966602751043333,0.555479652985569,1.11243695290199,253.575689579425,1.12131169932022,227.946122176118,0.0333972489566668,446.776885193824,1.7734828004628,0.473062368203406,1.28456847018736,1.89584471556616,130.602118529253,1.2994257783068,65.4441851614089,0.534855785483972,2.71543152981264,1.06899526461234,262.274112130268,1.15977612384005,245.346374125782,0.465144214516028,379.622005361334,1.91587273206603,0.55,0.55,0.3,0.3,1,4,394.608819204159,84.2094459606279,0.987522400956479,0.978187948268029,424.648669439742,0.990748913768898,1,9.9,0.25,2,0,0.1,0,0.25,0.5,0.05,-4.51476747495215,57.9474712055385,64.4242575710731,3002,60,452.891634631308,541.752317548307
2027,225.950675742491,389.684149360575,41.794199152527,91.3448855867023,858.055186572771,1.39151669983307,0.927952040675017,0.481314898450545,1.57046702776947,249.642224525756,4.96763062583802,143.064450319782,0.980100592313998,0.518685101549455,1.12860092010241,242.122428988618,1.07066538098767,214.533255002706,0.0198994076860024,456.502018404338,1.66019653353404,0.568264193607013,1.44940934295006,1.79626112726836,156.751368897681,1.55959774484747,82.9020893411281,0.598882576088923,2.55059065704994,1.08195691954896,262.050296548825,1.15878641133891,242.200305588939,0.401117423911077,403.190755517273,2.09515689111439,0.55,0.55,0.3,0.3,1,4,402.948847636623,89.3958135375372,0.982646480240011,0.973973061041261,440.160813427229,0.988649632671273,1,9.9,0.25,2,0,0.1,0,0.25,0.5,0.05,-3.06081216189872,54.5002496715104,64.1391970186093,3002,60,452.891634631308,541.752317548307
2032,245.073518306889,389.862522131331,48.4768212138689,94.5691884230892,843.40156081518,1.31820254791697,1.07850148522091,0.518884154228199,1.51216629352625,275.880237249762,5.48974084103301,164.196368208809,0.98870135636479,0.481115845771801,1.14714259649686,230.219630595992,1.01803120649548,200.689636405304,0.0112986436352096,467.682787898715,1.53848474225111,0.702103532582614,1.6499666891997,1.69191032748924,189.286379389269,1.88330483173353,106.283446290358,0.679341352901959,2.3500333108003,1.09972512630423,256.119008201467,1.13255825426689,232.89365867468,0.320658647098041,427.015768591111,2.25880720173242,0.55,0.55,0.3,0.3,1,4,412.568512290312,94.6277804706199,0.977800048794163,0.969707976683771,454.81443918482,0.98648422098745,1,9.9,0.25,2,0,0.1,0,0.25,0.5,0.05,-2.86868670047969,50.8907446379927,62.3713194373476,3002,60,452.891634631308,541.752317548307
2037,265.963293726,389.961763152514,56.5636871281351,97.0051689376164,829.950572054,1.24811397017202,1.25525393919521,0.556590952965212,1.45811291318192,304.170449600504,6.05268777660043,187.744997088782,0.993869387618996,0.443409047034788,1.16825301857727,218.086074930756,0.964376623343802,186.677090889393,0.00613061238100387,480.54247735755,1.41124069123285,0.892371923675395,1.88625060964172,1.5864306166058,229.361964254413,2.28203686334928,137.348500313162,0.768933725057899,2.11374939035828,1.12413894133106,244.173825129165,1.07973665472117,217.209649227208,0.231066274942101,451.958449978637,2.40445020450963,0.55,0.55,0.3,0.3,1,4,423.668741836096,100.097600628691,0.972983386193162,0.965423376879348,468.265427946,0.984340655055649,1,9.9,0.25,2,0,0.1,0,0.25,0.5,0.05,-2.60767095844091,47.1739773521392,59.0339014324762,3002,60,452.891634631308,541.752317548307
2042,288.728243373234,390.014574681569,66.2107756201568,98.6539156969269,818.014444725481,1.18139840112171,1.46218877957912,0.593857299532112,1.40838853889461,334.533784624286,6.65688778023867,213.776523911621,0.996815753883746,0.406142700467888,1.19213682493338,205.91076225364,0.910537390685597,172.724101753292,0.0031842461162539,495.302362816432,1.28434936911243,1.15932920876259,2.14757287412779,1.48583972471969,277.204011333316,2.75804131076083,177.235677836202,0.852403233872774,1.85242712587221,1.15688126646295,227.151881257033,1.0044656189186,196.348482633422,0.147596766127226,479.301382492815,2.53022919520272,0.55,0.55,0.3,0.3,1,4,436.447951661426,106.094256447431,0.968196503330243,0.961148231775957,480.201555274519,0.982312981713428,1,9.9,0.25,2,0,0.1,0,0.25,0.5,0.05,-2.28836598786109,43.3966924620258,54.3592473689614,3002,60,452.891634631308,541.752317548307
2047,313.499000172872,390.04148587684,77.3873008024905,99.6483032397691,807.799852566457,1.11806238913423,1.70402758170687,0.630181287067802,1.36293250383288,367.032404133628,7.30357780985506,242.366487548946,0.99841623327315,0.369818712932198,1.21901292546676,193.852005252981,0.857213567228683,159.023748807876,0.00158376672685034,512.186516544249,1.16470229113192,1.52115734880241,2.41342707074588,1.39623250987793,331.823449580345,3.30147741159964,225.773483192199,0.915683877621094,1.58657292925412,1.19878918459154,207.231866808194,0.916379315025834,172.867648016697,0.0843161223789064,510.428962144913,2.63540910839681,0.55,0.55,0.3,0.3,1,4,451.106204362048,112.93145954755,0.963439129548657,0.956901587131782,490.416147433543,0.980483293657158,1,9.9,0.25,2,0,0.1,0,0.25,0.5,0.05,-1.9360812073844,39.5969665589934,48.9006955485503,3002,60,452.891634631308,541.752317548307
2052,340.427986552843,390.054614362128,89.9305881465532,100.19266804533,799.3665441935,1.05802794323282,1.98635516740005,0.665143647039609,1.3215958363012,401.772064667845,7.99486231482545,273.60471958891,0.999246391894954,0.334856352960391,1.24911241215714,182.039377516939,0.804978127379905,145.73498409368,0.000753608105046433,531.425742667707,1.0570387053567,1.99152320304377,2.66288852584191,1.32092995289409,391.675462264028,3.89697501179595,281.689190509757,0.955671165899304,1.33711147415809,1.24965145192894,186.837737357082,0.826196474593016,149.511879547439,0.044328834100696,546.382643065754,2.72060909848824,0.55,0.55,0.3,0.3,1,4,467.848676613784,120.845638906754,0.958710715519948,0.952686609203117,498.8494558065,0.978906386883465,1,9.9,0.25,2,0,0.1,0,0.25,0.5,0.05,-1.58063944020256,35.8046383851183,43.2777697766442,3002,60,452.891634631308,541.752317548307
2057,369.688382566044,390.060737345156,103.675545646487,100.471061197761,792.649541496029,1.00117187086563,2.31574976514093,0.698409086682844,1.28417826807441,438.90222634769,8.73371540209269,307.599040984575,0.99965768165628,0.301590913317156,1.2826751384496,170.576290089306,0.75428835477491,132.984794805866,0.000342318343719561,553.260327396744,0.962749078737519,2.5816741764476,2.88320383068252,1.25992462862912,455.583550162942,4.53282853234619,343.516082486391,0.9779361318612,1.11679616931748,1.3086739384693,167.644847131847,0.741325514017028,128.102839220543,0.0220638681388002,587.718797982282,2.78744539286901,0.55,0.55,0.3,0.3,1,4,486.888116956756,129.96230637922,0.954010472306707,0.948494354352509,505.566458503971,0.977607080448633,1,9.9,0.25,2,0,0.1,0,0.25,0.5,0.05,-1.2440735294356,32.0419503426716,37.9196165082091,3002,60,452.891634631308,541.752317548307
