"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2062,515.21772374147,423.848094048182,161.578669321774,101.474919434803,810.322545798722,0.831582363914499,5.72354314012813,0.851268895111017,1.12478120770975,666.228825326849,13.257287395179,503.470806274312,0.999997293277063,0.148731104888983,1.3525794395339,98.9412480457243,0.437518198858193,73.1500458707399,2.70672293734009e-06,650.8552634733,0.693986922124591,7.79016928132935,3.54494619250438,1.0702077419499,807.831498979571,8.35902027906113,641.610733334409,0.999654180410897,0.455053807495624,1.54211514342883,88.1440119380128,0.389772820789893,57.1578667868004,0.000345819589103069,768.693091170462,2.60963800341355,0.6,0.6,0.35,0.35,1,4,567.528242483027,167.780339507884,0.949544493962073,0.945473411876017,487.893454201278,0.980943318597527,1,9.9,0.27,2,0,0.15,0,0.18,0.56,0.15,0.113676581804279,6.99309751384552,-0.330679333318623,3003,45,271.744659361755,224.654049914884
2067,563.323865683845,423.969421379723,183.533885299457,101.49708998126,811.250465960145,0.826620510445624,1.96798832935623,0.663071451424169,1.12249948645862,443.836672638373,2.94396864961033,395.400334692925,0.875084547905029,0.336928548575831,1.35793810131022,225.528101979935,0.997285266955271,166.081282911446,0.124915452094971,669.364774618308,0.672409766326764,4.10068982350073,3.21579234605277,1.06329707702609,646.825705098966,4.29039490192144,608.320777959867,0.973218234156813,0.784207653947227,1.58132307154708,157.735828101911,0.69750783186665,99.749273845471,0.0267817658431868,804.561533200877,2.60012510425029,0.6,0.6,0.35,0.35,1,4,596.470950662374,179.236195558825,0.944893756419708,0.941128687103842,486.965534039855,0.981111181739474,0,9.9,0,0,0,0,0,0,0,0,0.360114220155495,0,0,3003,45,271.744659361755,224.654049914884
2072,610.603697308837,425.523156776108,206.584574496243,101.711065641342,806.122436116566,0.785090506044209,2.36384393508714,0.702721047915056,1.10431325912229,497.575785339802,3.3004201841589,450.574853855577,0.914480692207364,0.297278952084944,1.40660630923501,210.494346921197,0.930806002085535,149.646952057023,0.0855193077926356,708.070132260999,0.622044007637308,5.40854673537306,3.3758335290088,1.04887131295026,748.871978113379,4.96726783082604,713.978892231264,0.987320321734389,0.624166470991204,1.68616898494716,138.460849975761,0.612273878592814,82.1156427450834,0.0126796782656108,887.332828089139,2.65247183449654,0.6,0.6,0.35,0.35,1,4,630.961294857776,197.675570777558,0.940269945711498,0.936932066335086,492.093563883434,0.980174438622116,0,9.9,0,0,0,0,0,0,0,0,-0.925669529348487,0,0,3003,45,271.744659361755,224.654049914884
2077,663.938798659281,426.560021714178,231.438793194653,101.81091862235,802.603230924135,0.743465650375164,2.86905616991996,0.74153903275571,1.08773925874369,558.183116796627,3.70242861371203,513.158932446102,0.944909705465115,0.25846096724429,1.46306592402057,194.552871654723,0.860312798457184,132.976148552543,0.0550902945348853,752.73598845135,0.576832861894208,7.07294250299713,3.50451771475952,1.03789321421252,857.379079216185,5.68699543244095,826.0763896281,0.994239549415667,0.495482285240478,1.79929626548023,121.219574293567,0.536032957526151,67.3705473740941,0.00576045058433339,978.598653509751,2.68808106103475,0.6,0.6,0.35,0.35,1,4,670.763039308998,218.007315035635,0.935671623851871,0.93270954934563,495.612769075865,0.979518731107089,0,9.9,0,0,0,0,0,0,0,0,-0.61106755592488,0,0,3003,45,271.744659361755,224.654049914884
2082,723.618913857902,427.211627778497,258.24754262176,101.855634372999,800.563222287878,0.702520842948571,3.50922934641057,0.778232615115037,1.07306361590644,625.646463140973,4.14991299001407,583.046945089529,0.966480452528219,0.221767384884963,1.52744737281054,178.285999967748,0.78838069185738,116.721533678569,0.0335195474717812,803.93246310872,0.536149291500742,9.17359840834131,3.60682544764885,1.02952744752401,972.80076662675,6.45258748503523,944.900273388841,0.997486752161135,0.393174552351153,1.92022532500648,106.043530937893,0.468924493807364,55.2245247247404,0.00251324783886497,1078.84429756464,2.70860738582779,0.6,0.6,0.35,0.35,1,4,716.38421787618,240.339538389963,0.931097121779494,0.928464133009318,497.652777712121,0.979133822713356,0,9.9,0,0,0,0,0,0,0,0,-0.323542483186761,0,0,3003,45,271.744659361755,224.654049914884
2087,789.921883200181,427.599049677454,287.218744934021,101.874808328661,799.859780919081,0.662846904825346,4.31494487757097,0.811851294221321,1.06037562197399,699.939070917679,4.64269585739697,660.085969927032,0.980647492846895,0.188148705778679,1.59972931042559,162.21274912594,0.717304776634906,101.40012317633,0.019352507153105,862.151820043618,0.499346714147316,11.8126647892241,3.68780889332529,1.02311807389958,1095.96263980326,7.26952018981503,1071.1985916015,0.998951403122751,0.312191106674712,2.04891319981278,92.778611715371,0.410267021005371,45.2818653927598,0.00104859687724934,1188.74125151863,2.71566582485404,0.6,0.6,0.35,0.35,1,4,768.263486840868,264.821832307063,0.926544720023259,0.924199700076548,498.356219080919,0.979000277168524,0,9.9,0,0,0,0,0,0,0,0,-0.064969597760263,0,0,3003,45,271.744659361755,224.654049914884
2092,863.175557982673,427.817949826677,318.592821383446,101.882654988541,800.347336452287,0.624823149366958,5.32349716954416,0.841859658795089,1.04960606616494,781.126583913913,5.18121263110099,744.20928869819,0.989359227394317,0.158140341204911,1.67984503651689,146.731849202955,0.648848237175468,87.3484434654755,0.0106407726056832,927.858433116868,0.465863901516394,15.1190147754863,3.75184587546361,1.01817626372726,1227.88317201177,8.14454907995408,1205.96326564993,0.999584419509769,0.248154124536394,2.18556591402141,81.2144964632642,0.359130503360554,37.1594816437408,0.000415580490231493,1309.09766847504,2.71077467813231,0.6,0.6,0.35,0.35,1,4,826.814649750441,291.634233094526,0.922012887784205,0.919920204733525,497.868663547713,0.979092882433171,0,9.9,0,0,0,0,0,0,0,0,0.164548252936583,0,0,3003,45,271.744659361755,224.654049914884
2097,943.795647545131,427.935833940235,352.632198514049,101.885688496849,801.884498040014,0.588647709432212,6.58099871044694,0.868091258395552,1.04058721064672,869.425022107383,5.76689617163827,835.513845655515,0.994418494048316,0.131908741604448,1.76775887168648,132.111410495678,0.584196657211888,74.7338410298239,0.00558150595168361,1001.53643260306,0.435241318482925,19.2537487065138,3.80250569620657,1.01434272777471,1369.69150857646,9.08516377638767,1350.32417650523,0.999844791712091,0.197494303793429,2.33052948950321,71.1389521830144,0.31457644655329,30.524802412253,0.000155208287908604,1440.83046075948,2.69532248990972,0.6,0.6,0.35,0.35,1,4,892.469115092587,320.981005895692,0.917500405596937,0.915629356043655,496.331501959986,0.979383524090773,0,9.9,0,0,0,0,0,0,0,0,0.366225186845408,0,0,3003,45,271.744659361755,224.654049914884
2102,1032.30123015636,427.9963944367,389.618613691075,101.886790399727,804.338993260121,0.554388937888947,8.14482378802939,0.890648521701533,1.03310648309913,965.216786432484,6.40228294440666,934.285867161544,0.997208124739552,0.109351478298467,1.86350486543452,118.506773326525,0.524036951649892,63.5934874787095,0.00279187526044811,1083.72355975901,0.407108700302158,24.4172408310048,3.84262650589829,1.01135283911913,1522.59826485421,10.099394290778,1505.50649185933,0.99994584734467,0.157373494101715,2.48423292935892,62.3575069514336,0.275744895739239,25.1013124471889,5.41526553297089e-05,1584.95577180565,2.67054938865716,0.6,0.6,0.35,0.35,1,4,965.706064101252,353.088522064003,0.913006387465272,0.911330529525262,493.877006739879,0.979843453490101,0,9.9,0,0,0,0,0,0,0,0,0.542099631513378,0,0,3003,45,271.744659361755,224.654049914884
2107,1129.31630568103,428.026040712757,429.854414622083,101.887163239284,807.590474629682,0.522033745094003,10.0864541093778,0.909799834091757,1.02694332718479,1069.04257207397,7.09095938056661,1040.99471097844,0.99867137430671,0.0902001659082429,1.96719721059386,105.987947843835,0.468678705365436,53.8776424006003,0.0013286256932904,1175.0305199178,0.381166490224457,30.8581648531425,3.87444348981057,1.00901006349089,1687.89294523227,11.1957939057256,1672.82072429748,0.999982510939201,0.125556510189426,2.64716361319358,54.6984227113033,0.241876425229383,20.6630305881676,1.74890607986811e-05,1742.59136794357,2.63754209151462,0.6,0.6,0.35,0.35,1,4,1047.06969629875,388.205791993629,0.908530244425441,0.9070267647056,490.625525370318,0.980444871569332,0,9.9,0,0,0,0,0,0,0,0,0.694676387544046,0,0,3003,45,271.744659361755,224.654049914884
