"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2012,154.126148187003,343.259523892404,24.8245156001451,75.1125940894952,915.9701,1.7099759466767,0.341995189335339,0.254840845968101,1.98091335959271,108.950234777599,0.722666907279813,55,0.33491004476581,0.745159154031899,1.15844516026238,318.572419072155,1.40872723713707,275,0.66508995523419,427.522653849754,2.0997008564004,0.226821986293263,0.739543271403495,2.32567058853324,64.7040163861718,0.429181740689477,27.82166,0.303168870883878,3.26045672859651,1.10761996474118,285.263423725222,1.26143485971293,257.5463,0.696831129116122,349.967440111394,1.39019251009509,0.5,0.5,0.25,0.25,1,4,380.965436845516,77.9639964708158,0.997363117174527,0.98711506255464,382.2459,0.995459492724606,0,9.9,0,0,0,0,0,0,0,0,0,0,0,3001,80,954.309479853184,924.757724903698
2017,158.043097571718,349.017282839623,26.7705057499113,79.8226745519819,896.975480694444,1.70030893906176,0.345895031602913,0.257000006301356,1.9725745836985,111.958500847749,0.742620736123119,56.7575501443555,0.33432634227974,0.742999993698644,1.16012716182448,323.677678539995,1.43130269450386,279.001896680846,0.66567365772026,435.636179387744,2.07919249319812,0.231318625470769,0.751450098084334,2.30717173694795,70.0595033323907,0.464704685603747,30.3659680857001,0.29430072924274,3.24854990191567,1.10964797367038,302.870135034776,1.33929173712378,272.942538734131,0.70569927075726,372.929638367167,1.63253422704576,0.5,0.5,0.25,0.25,1,4,388.195399452419,83.0794001872456,0.992435112899578,0.982960391474982,401.240519305556,0.993537828885876,0,9.9,0,0,0,0,0,0,0,0,-3.86778007063965,0,0,3001,80,954.309479853184,924.757724903698
2022,162.213489900033,354.759466617023,28.7541708958519,84.5443082003199,877.032319277117,1.60105316136025,1.31662553063867,0.568337658903246,1.88768938798247,303.301743871193,6.03540140129287,136.572512369767,0.994344955321411,0.431662341096755,1.17902979959685,195.808509170756,0.865865227553084,166.075962827835,0.00565504467858857,427.33017203519,1.95220404086566,0.885570951549475,1.87862663204851,2.19342212471112,222.343200524968,2.25644774709563,86.1629498111832,0.787971065611761,2.12137336795149,1.1235619222151,213.412285165345,0.943709125001157,189.942611035272,0.212028934388239,380.955301653851,1.87493121660643,0.5,0.5,0.25,0.25,1,4,372.977065478922,83.3753823155441,0.987376723092323,0.978074576906982,421.183680722883,0.99119061324965,1,9.9,0.5,2,0,0.15,0,0.5,0.53,0.15,-4.10265177623767,88.9262196650469,102.292521104084,3001,80,954.309479853184,924.757724903698
2027,174.786862143799,354.800385295859,34.3831537295594,85.7442124905643,867.66824356838,1.52305888494469,1.45492426892944,0.59265545880318,1.82200668687273,323.248492928248,6.4323217607792,150.801432820539,0.996305581296247,0.40734454119682,1.19628118445263,188.849155146189,0.835090964056446,157.863517039765,0.00369441870375276,436.480069735602,1.74825124882948,1.10424663089915,2.09908214119807,2.01404628274373,261.550180671213,2.65433939303999,110.383587246897,0.853717344874769,1.90091785880193,1.15203480283066,201.329709640594,0.890279976030705,174.760093311337,0.146282655125231,399.786887605348,1.98481249141933,0.5,0.5,0.25,0.25,1,4,380.712635860296,87.344816887598,0.982505550766568,0.973726590538134,430.54775643162,0.989974022045989,1,9.9,0.5,2,0,0.15,0,0.5,0.53,0.15,-1.80721565036264,84.8560989339252,95.4729555743848,3001,80,954.309479853184,924.757724903698
2032,188.357822727322,354.826858528137,40.7223646822437,86.5482393199396,859.417981152827,1.44870593031235,1.60810092345354,0.616579254657124,1.76032635398161,344.250403851951,6.85023878624998,166.226474205939,0.997637345299364,0.383420745342876,1.21510260788542,181.961740713229,0.804634817433901,149.750103022072,0.00236265470063646,446.655730039661,1.57066353793175,1.36806727130789,2.31085879676434,1.86198387463165,303.319556676424,3.07823548773513,138.466088072844,0.904207924711713,1.68914120323566,1.18547596583512,188.456831460108,0.833356108716599,158.971448507898,0.0957920752882868,420.306632479469,2.0796613708431,0.5,0.5,0.25,0.25,1,4,389.351227496513,91.6880459528503,0.977662518126035,0.969397146413039,438.798018847173,0.98884202381254,1,9.9,0.5,2,0,0.15,0,0.5,0.53,0.15,-1.5823803778247,80.7907141521931,88.2073739034444,3001,80,954.309479853184,924.757724903698
2037,202.999145444341,354.843618234766,47.71192830973,87.0638620819231,852.288255356267,1.37788164321917,1.77766510959572,0.639985397611325,1.70251514610601,366.370990253425,7.2904163350529,182.914872991104,0.998522256978924,0.360014602388675,1.23560332956348,175.1822320382,0.774655830072922,141.778698589368,0.00147774302107562,457.953058842099,1.41814157102553,1.67816477591157,2.50643991886626,1.7352594951392,346.968059703499,3.52120188422036,169.958932121744,0.939577790910415,1.49356008113374,1.22361513870886,175.741294884332,0.777128005978517,143.624649062263,0.0604222090895848,442.952040795491,2.16020246149241,0.5,0.5,0.25,0.25,1,4,398.977912934541,96.5072480202191,0.9728473983527,0.965091263309387,445.927744643733,0.987818547374195,1,9.9,0.5,2,0,0.15,0,0.5,0.53,0.15,-1.3594845076316,76.7461683366085,80.9831614427024,3001,80,954.309479853184,924.757724903698
2042,218.79037645505,354.853989706145,55.2978040640244,87.3845339126812,846.240979471976,1.31045657758005,1.96529842955603,0.662765814721143,1.64842240997956,389.687121089776,7.75438402256546,200.940032676708,0.999097189051719,0.337234185278857,1.25789929874946,168.541351249712,0.745289855226227,133.986362356087,0.000902810948280597,470.472962932428,1.28781988595356,2.03499582788598,2.68204102185334,1.63048460853129,392.110787670135,3.97933240756249,204.414177095385,0.962855645328399,1.31795897814666,1.26608124809628,163.781254463726,0.724240707238597,129.360777367166,0.0371443546716008,468.003484356781,2.22751267853567,0.5,0.5,0.25,0.25,1,4,409.681882294657,101.866710242101,0.968059866391165,0.960807032160562,451.975020528024,0.986917630122791,1,9.9,0.5,2,0,0.15,0,0.5,0.53,0.15,-1.14625626661827,72.7355471534776,74.107035962325,3001,80,954.309479853184,924.757724903698
2047,235.818188741529,354.860254710419,63.4468357865435,87.5797045794596,841.213239581714,1.24629222615988,2.17287130671068,0.684828061609375,1.59788745316638,414.289582230812,8.24394839681093,220.382320543525,0.999462098719539,0.315171938390625,1.28211299053822,162.064887970413,0.716650934605166,126.404528435812,0.000537901280460718,484.322127490812,1.1762615363608,2.43930432291849,2.83697410160968,1.54388833855362,438.658425166202,4.45172064121495,241.506883678247,0.977594668600331,1.16302589839032,1.31253831807696,152.854917645194,0.675924445827048,116.457489690013,0.022405331399669,495.632566466404,2.28279266325743,0.5,0.5,0.25,0.25,1,4,421.557125685899,107.804190858561,0.963299514110385,0.956539276854684,457.002760418286,0.986145660686815,1,9.9,0.5,2,0,0.15,0,0.5,0.53,0.15,-0.946554647198705,68.7690580615922,67.7198741404196,3001,80,954.309479853184,924.757724903698
2052,254.176763802275,354.863942451299,72.1489423234481,87.6964703767103,837.132594403358,1.18524650596705,2.40246135064196,0.706095118520208,1.55074475008207,440.28356940879,8.76120274766552,241.329873261003,0.99968805450403,0.293904881479792,1.30837318842531,155.77400814272,0.68883266400711,119.05930931694,0.000311945495969912,499.61375446865,1.08017017794248,2.89260685802484,2.97241099707931,1.4719944338605,486.732040512964,4.93959524582541,281.062363361645,0.986706898054687,1.02758900292069,1.36274307874743,143.027467866311,0.632467462904827,104.955563595872,0.0132931019453131,525.959228206502,2.3272140591289,0.5,0.5,0.25,0.25,1,4,434.70308427329,114.344604436,0.958565866418895,0.952282296803082,461.083405596642,0.985503783643842,1,9.9,0.5,2,0,0.15,0,0.5,0.53,0.15,-0.761567961383695,64.8541701332906,61.8518644302733,3001,80,954.309479853184,924.757724903698
2057,273.968216197117,354.866053302412,81.4136050375883,87.7651969662858,833.926203268195,1.12717749550049,2.65637361875311,0.726504973432934,1.50682749721485,467.789138243635,9.30853606191009,263.879420996786,0.999824312239652,0.273495026567066,1.33681474588506,149.685558048017,0.661909537688331,111.971803504393,0.000175687760348042,516.468280750979,0.996706354742091,3.39734242684003,3.09035967370082,1.41188652432951,536.577776895969,5.44545420305098,323.03666229704,0.992246317203197,0.909640326299181,1.4165521445831,134.249378796296,0.593650753037219,94.7719286647272,0.00775368279680266,559.092333817999,2.36184348328659,0.5,0.5,0.25,0.25,1,4,449.225286324818,121.509814140778,0.953858396476341,0.94803124665086,464.289796731805,0.984989778933155,1,9.9,0.5,2,0,0.15,0,0.5,0.53,0.15,-0.590993522502109,60.9957527428587,56.4733576036521,3001,80,954.309479853184,924.757724903698
