"Future.ID","Run.ID","time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","dS.lag","Budget.function.N","Budget.function.S","Budget.N","Budget.S","time.300yr","Are.N.300yr","Ace.N.300yr","Are.S.300yr","Ace.S.300yr","S.300yr","RelPrice_N.300yr","RelLabor_N.300yr","Labor.re_N.300yr","Price.re_N.300yr","Agg.demand.re.tech_N.300yr","Profits.re_N.300yr","Yre_N.300yr","sre_N.300yr","Labor.ce_N.300yr","Price.ce_N.300yr","Agg.demand.ce.tech_N.300yr","Profits.ce_N.300yr","Yce_N.300yr","sce_N.300yr","Y_N.300yr","RelPrice_S.300yr","RelLabor_S.300yr","Labor.re_S.300yr","Price.re_S.300yr","Agg.demand.re.tech_S.300yr","Profits.re_S.300yr","Yre_S.300yr","sre_S.300yr","Labor.ce_S.300yr","Price.ce_S.300yr","Agg.demand.ce.tech_S.300yr","Profits.ce_S.300yr","Yce_S.300yr","sce_S.300yr","Y_S.300yr","Delta.Temp.300yr","Gamma.re.t_N.300yr","Gamma.re.t_S.300yr","Gamma.ce.t_N.300yr","Gamma.ce.t_S.300yr","L_N.300yr","L_S.300yr","Consumption_N.300yr","Consumption_S.300yr","Utility.Consumer_N.300yr","Utility.Consumer_S.300yr","CO2.Concentration.300yr","Cost.S.Damage.300yr","policy.status.300yr","dS.lag.300yr","Budget.function.N.300yr","Budget.function.S.300yr","Budget.N.300yr","Budget.S.300yr","Y.Total_N","Y.Total_S","Consumption.Total_N","Consumption.Total_S","Utility.Consumer.Total_N","Utility.Consumer.Total_S","Y.Total_N.300","Y.Total_S.300","Consumption.Total_N.300","Consumption.Total_S.300","Utility.Consumer.Total_N.300","Utility.Consumer.Total_S.300","Policy.Start.Time","Policy.Duration","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","epsilon","rho","alfa","Eta.re","Eta.ce","Gamma.re","Gamma.ce","Nu.re","Nu.ce","k.re","k.ce","labor.growth_N","labor.growth_S","lambda.S","sigma.utility","Yre.0_N","Yce.0_N","Yre.0_S","Yce.0_S","size.factor","TimeStep","EndTime","Climate.Model","Beta.Delta.Temp","CO2.base","CO2.Disaster","Delta.Temp.Disaster","qsi","Delta.S","S.0","policy.name","Y.Total_N.fwa","Y.Total_S.fwa","Consumption.Total_N.fwa","Consumption.Total_S.fwa","Consumption.Total_N.300.fwa","Consumption.Total_S.300.fwa","Z.Relative.Gamma","Z.Relative.Eta","Z.Relative.Nu","Z.epsilon"
1,1,2112,140.336415134235,347.887241859283,33.8578850632851,150.147280083338,414.362035399786,1.83721356298451,0.296265249803641,0.228552952297779,2.09173460936474,96.4995408831235,0.426720969785172,46.1337401270186,0.266273332589958,0.771447047702221,1.13853645080148,325.720080053539,1.44033419399675,286.08665082637,0.733726667410042,422.219620936662,2.71265536124583,0.135897278127151,0.478554815629866,2.89110690028849,79.0218086033095,0.349434437643834,27.3327176506079,0.0978029195248016,3.52144518437013,1.06578481792862,581.481908190782,2.57131299801964,545.590346577562,0.902197080475198,660.503716794092,5.57886091190886,0.25,0.25,0.25,0.25,1,4,376.23990421666,147.143715508804,0.901817608440958,0.897045505461668,883.853964600214,0.784682082556336,1,-7.54499753104894,0,0,0,0,2312,163.167994734677,813.332985827858,36.8762515860815,416.23764236876,-2888.96848094621,2.93369110835461,0.116190663274359,0.104095713301805,3.09944245296455,91.902408316971,0.406392449577646,29.6512710629837,0.0434699689866546,0.895904286698196,1.05649924906474,790.962076702873,3.49763430318011,748.663169806385,0.956530031013345,882.864485019844,5.07269056509531,0.0388618309106767,0.14963233706107,5.17031813036751,64.0801281824997,0.283362326823014,12.3938462908364,0.000903644220427845,3.85036766293893,1.01924571665064,1648.92200601117,7.29153311058138,1617.7865445731,0.999096355779572,1713.00213419367,6,0.25,0.25,0.25,0.25,1,4,786.720542601183,381.614050444994,-100,-100,4187.18448094621,0,1,-28.8854141355707,0,0,0,0,7656.38514082708,10465.1007418961,6822.60479899101,2331.36281777589,19.9195014534702,19.7873162444145,32368.46743263,55696.1471124056,28843.5413292166,12407.7091729662,-3879.1834315435,-3879.32066808675,9.9,295,0,0,0,0,0,0,0,0,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,300,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,"FWA",7656.38514082708,10465.1007418961,6822.60479899101,2331.36281777589,28843.5413292166,12407.7091729662,NA,NA,NA,NA
1,601,2112,156.689726606299,311.579156093509,46.7518483551536,125.898944870977,678.180453981169,1.58494310001295,1.34352708519578,0.573292749071659,1.87404499152999,229.377766501579,1.01430848346998,122.397150302305,0.564476260490499,0.426707250928341,1.18240521790005,170.728055302401,0.754959460547217,144.390478592114,0.435523739509501,376.866662277472,1.94200173796174,0.894900083684293,1.88907075658432,2.18434675595392,283.46349201553,1.25347556169267,129.770372420445,0.463263280140123,2.11092924341568,1.12479134969598,316.754347422244,1.40068772430116,281.611649580929,0.536736719859876,568.126211530878,3.80733045828384,0.25,0.25,0.25,0.25,1,4,333.295138283018,125.690622204026,0.902021789211215,0.897296507058064,620.035546018831,0.949007069990251,1,-3.02990852336305,85.3640276512005,158.377173711122,5498.57122126886,10488.1375426227,2312,290.481294399327,456.862203786314,126.20600821456,212.635418484271,-242.845810190797,1.35446232573528,1.83966996431021,0.647846400261901,1.68361759073616,409.512364599441,1.81086367625873,243.233598207051,0.695619039320404,0.352153599738099,1.24301544513037,222.60099503934,0.984341600063963,179.08143934285,0.304380960679596,594.934307653843,1.41837881398635,1.67760343153765,2.50612680246568,1.73545338743665,720.138182248769,3.18445104190406,414.956798875739,0.783509515515384,1.49387319753432,1.22354717253507,429.266040299351,1.89821443020373,350.837344023242,0.216490484484616,1081.72899221403,6,0.25,0.25,0.25,0.25,1,4,526.09716278918,239.139718094636,-100,-100,1541.0618101908,0,1,-5.76527423234493,111.30049751967,214.633020149676,5498.57122126886,10488.1375426227,7081.07748548143,9495.81808440855,6266.82185595349,2102.30636195483,19.9166159636527,19.7760813896596,26342.5810764467,42553.1567926647,23300.0922671902,9412.41682660011,-2265.41910653285,-2265.62841095628,9.9,295,0.5,0,0,0,0,0.5,0,0,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,300,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,"Nordhaus",7656.38514082708,10465.1007418961,6822.60479899101,2331.36281777589,28843.5413292166,12407.7091729662,NA,NA,NA,NA
1,1201,2112,187.657074259699,260.162069438086,50.3113379447658,119.229064054907,718.898119784719,1.17968810561483,2.42515430137076,0.708042350208925,1.54650057437076,324.624378431052,4.30646700426633,178.422644154959,0.978190055038656,0.291957649791075,1.31094021123894,113.778624935506,0.503129079464809,86.7916202127762,0.0218099449613445,367.388880845605,1.78262461681153,1.06207204562445,2.06020356636536,2.04395462876807,301.27696562331,1.33224674198628,147.399047602585,0.519455725177136,1.93979643363464,1.14659845347809,283.669047560866,1.25438452831415,247.400514714096,0.480544274822864,552.269065040046,3.46790330538475,0.25,0.25,0.25,0.25,1,4,319.646793778987,122.142111051072,0.901935870746489,0.897170938130303,579.317880215281,0.960676376156651,1,-2.04843884771886,48.7155952432377,141.834523780433,2295.83617714266,7170.61388780065,2312,501.859529176238,264.43639454516,215.058812603013,147.773759721532,393.215030747556,0.650976281248889,2.35976996904109,0.702360575511243,1.19321838686329,458.827742867456,2.02893627895989,384.529561326668,0.762988394240931,0.297639424488757,1.8329675308202,194.437487080109,0.859802567868241,106.07797672941,0.237011605759069,653.265229947565,0.777708513500475,1.65335568748661,2.49247501235351,1.2668190604704,762.945320448042,3.37374420702124,602.252795410845,0.791369575843573,1.50752498764649,1.62891242474438,461.452624031465,2.04054350346714,283.288786445275,0.208630424156427,1224.39794447951,5.69701205316565,0.25,0.25,0.25,0.25,1,4,582.124646406275,272.765252081422,-100,-100,905.000969252443,0.751042291087265,0,-3.19839866336915,0,0,2295.83617714266,7170.61388780065,7036.0074576118,9389.75659340458,6141.76515573347,2078.57083865123,19.9155576662794,19.7748224676605,26797.1883415032,42330.155491791,23348.7001633805,9369.18990415867,-1055.78666937364,-1056.02823571159,9.9,285,0.5,2,0,0.15,0,0.5,0,0,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,300,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,"Nordhauds+TechnologyPolicy",7656.38514082708,10465.1007418961,6822.60479899101,2331.36281777589,28843.5413292166,12407.7091729662,NA,NA,NA,NA
1,1801,2112,187.656945382281,260.16224838715,61.642671627733,103.046215993329,775.407386723048,1.17968919209298,2.42514983430269,0.70804196943881,1.54650140314873,324.62424056588,4.30646517534696,178.42247276284,0.978190000806954,0.29195803056119,1.31093970641958,113.778786192127,0.503129792541585,86.7917766430903,0.0218099991930457,367.388915847224,1.25427640387969,2.14529624616974,2.72825969735884,1.60412259423317,579.814171756151,2.5639382675057,253.016771715834,0.849071522407837,1.27174030264116,1.27892272330991,189.190616892169,0.836600907897169,147.929670373308,0.150928477592163,560.425184525116,2.95502634364404,0.25,0.25,0.25,0.25,1,4,319.646826233278,119.170140760329,0.9019764587608,0.897087484444587,522.808613276952,0.974093220459508,1,-0.95510823365245,39.2444148472184,75.6527794548108,1518.85761286587,2881.8830881736,2312,452.909878195977,293.016188921131,221.68240085189,117.955081369555,585.172478708866,0.746946473260545,1.79234264433333,0.641877760944073,1.24817027440825,404.721628373349,1.78967904066695,324.251936351573,0.688081454500446,0.358122239055927,1.67103041394624,225.805947123401,0.99851389817968,135.129764987429,0.311918545499554,630.52757549675,0.655254849226603,2.32905375757437,2.798457372189,1.19555799417468,809.891793398114,3.58134151040646,677.417404546069,0.885305488339288,1.201542627811,1.82456947184106,347.734263652887,1.53768091387307,190.584282494878,0.114694511660712,1157.626057051,4.50574681664622,0.25,0.25,0.25,0.25,1,4,561.863122525154,257.890144859537,-100,-100,713.043521291134,0.914229282582122,0,-2.20701513952641,0,0,1518.85761286587,2881.8830881736,7036.00866524771,9520.79573297855,6141.76625760704,2042.20045145811,19.9158248348155,19.7724412809665,26540.8583552392,43626.4843445998,23273.994357919,9419.40322398794,-1055.78225079989,-1056.01894133932,9.9,225,0.5,2,0,0.15,0.15,0.5,0,0.15,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,300,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,"Nordhaus+TraditionalGreenClimateFund",7656.38514082708,10465.1007418961,6822.60479899101,2331.36281777589,28843.5413292166,12407.7091729662,NA,NA,NA,NA
1,2401,2112,187.656898714205,260.162311531485,72.7265385795271,81.3895958695148,822.435152630817,1.17968958049125,2.42514823740152,0.708041833319702,1.54650169942345,324.624190249409,4.30646450784867,178.422410925812,0.978189981162038,0.291958166680298,1.31093952595517,113.778843477069,0.503130045855601,86.7918322885021,0.0218100188379619,367.388927191892,0.958581969712111,3.67295210554284,3.14401005838357,1.38523622269169,633.29113821823,19.6028938924071,320.020361502938,0.999999994771725,0.855989941616433,1.44508896104912,120.694140303047,0.533709488420076,83.5202147108125,5.22827525717418e-09,534.88743954648,2.48401355545721,0.25,0.25,0.25,0.25,1,4,319.646836819078,113.194610678878,0.902003018974884,0.896750981900527,475.780847369183,0.983077775120015,1,-0.221962410122268,29.969658269847,22.8549681867281,1053.04717318,749.535503176507,2312,452.909533397425,293.016432178626,233.300435108508,87.4134411303366,794.802368096062,0.746947269724017,1.79233882201617,0.641877270725347,1.24817075103856,404.721241832913,1.78967733138514,324.251502846192,0.688080835297588,0.358122729274653,1.67102927024519,225.806213011472,0.998515073936728,135.130016590517,0.311919164702412,630.527454844385,0.518028898517781,3.72642190802051,3.15369383481991,1.12621220899951,878.577746709833,3.88507079595088,780.117405662239,0.944929531373355,0.84630616518009,2.17403355724343,235.769799661933,1.04257405410507,108.448095879844,0.0550704686266448,1114.34754637177,2.76612127548048,0.25,0.25,0.25,0.25,1,4,561.863015011831,248.24877464297,-100,-100,503.413631903938,0.978027720442996,0,-1.00046090602575,0,0,1053.04717318,749.535503176507,7036.00907809054,9175.95429289818,6141.76663505245,1959.99866132419,19.9160211823445,19.7651125222175,26540.8572279648,41970.9052546227,23273.9933778837,9045.16458891913,-1055.78077402865,-1056.02962516576,9.9,225,0.5,2,3,0.15,0.15,0.5,3,0.15,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,300,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,"Nordhaus+R&DGreenClimateFund",7656.38514082708,10465.1007418961,6822.60479899101,2331.36281777589,28843.5413292166,12407.7091729662,NA,NA,NA,NA
1,3001,2112,187.656982564838,260.16219261058,72.3510478480419,82.3442705602313,810.934618625039,1.17968886603066,2.42515117491059,0.708042083711501,1.54650115442462,324.624279354764,4.3064656899203,178.422522778012,0.97819001643609,0.291957916288499,1.3109398579205,113.778736891205,0.503129574532909,86.7917290055461,0.0218099835639098,367.388902416515,1.03360495266809,3.15910902244302,3.03825555463549,1.43817217264833,481.895245719616,8.52376310628857,284.813575628706,0.999647604984135,0.961744445364511,1.39141377848075,129.660279512896,0.573357756006026,93.1859965153346,0.000352395015865148,510.114977145972,2.60336515747244,0.25,0.25,0.25,0.25,1,4,319.646813947329,110.879145112038,0.901997078906713,0.896564046735779,487.281381374961,0.981054125412326,1,-0.340440158474332,48.715653715729,50.5655585879016,2034.85767680575,2152.8408636402,2312,452.90995515455,293.016257118907,233.04135094546,88.4682011860632,764.547215876196,0.746946504700958,1.79234249344704,0.641877741592674,1.24817029322324,404.721694047834,1.78967933107952,324.251984080388,0.688081464013547,0.358122258407326,1.67103036879856,225.80600277432,0.998514144268042,135.129801941703,0.311918535986453,630.527696822154,0.52259748954563,3.6615533112836,3.14191692491905,1.12832093664852,876.769368913403,3.87707414933507,777.056722458499,0.943652156767063,0.858083075080947,2.15906306329472,239.452848115447,1.05886049436651,110.905907375416,0.0563478432329365,1116.22221702885,3.05776542940299,0.25,0.25,0.25,0.25,1,4,561.863230638221,248.666404398602,-100,-100,533.668784123804,0.971745396039701,0,-1.08021400995527,0,0,2034.85767680575,2152.8408636402,7036.00825386983,8900.15738142126,6141.76588425511,1942.63581065881,19.9159640676702,19.7633564048774,26540.8596965928,40552.1017051706,23273.9955365454,8897.07884731414,-1055.78104040886,-1056.03686145789,9.9,225,0.5,2,0,0.15,0,0.5,3,0.15,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,300,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,"Nordhaus+TechnologyPolicy.Both",7656.38514082708,10465.1007418961,6822.60479899101,2331.36281777589,28843.5413292166,12407.7091729662,NA,NA,NA,NA
1,3601,2112,187.657024838836,260.162134455476,72.6419941644986,81.6108047550011,821.795443013382,1.17968851129766,2.42515263339946,0.708042208032201,1.54650088383023,324.624324706137,4.30646629155162,178.422578923342,0.978190034227288,0.291957791967799,1.31094002274302,113.778684359933,0.503129342239622,86.7916780218985,0.0218099657727123,367.388891371832,0.961075459371303,3.65391803848763,3.14050914371069,1.38696288292289,633.026437756741,11.1969716310412,319.488366909928,0.999976552100012,0.859490856289311,1.44313630048381,121.272152730916,0.536265459376109,84.0337483647655,2.34478999878718e-05,535.208631681777,2.49072781428783,0.25,0.25,0.25,0.25,1,4,319.646803684537,113.266378794418,0.902002697416344,0.89675522767394,476.420556986618,0.982968111612925,1,-0.228320133694057,38.3751394474341,31.5573739206641,1493.2050318369,1201.63678013856,2312,452.909595876518,293.016379865419,233.242113075296,87.6565534938973,792.888453906904,0.746947111338212,1.79233958212636,0.641877368210889,1.24817065625519,404.721313260592,1.78967764723834,324.25158469504,0.688080956150623,0.358122631789111,1.6710294976829,225.806157101349,0.998514826702166,135.129964739975,0.311919043849377,630.52747036194,0.519080690696415,3.71133581214027,3.15098389087598,1.12669639364554,878.166544600334,3.88325246022267,779.417196640647,0.944639154296966,0.849016109124023,2.17056117447546,236.617376882937,1.04632204057635,109.012074695438,0.0553608457030341,1114.78392148327,2.78508340833592,0.25,0.25,0.25,0.25,1,4,561.863028839525,248.345988108435,-100,-100,505.327546093096,0.977653957828942,0,-1.00961220830218,0,0,1493.2050318369,1201.63678013856,7036.00786514081,9181.56499747008,6141.76552934483,1961.30174123425,19.9160181357025,19.7652427340621,26540.8570138931,41991.1914957136,23273.9931243267,9049.68147509249,-1055.78078782265,-1056.02944317373,9.9,225,0.5,2,0,0.15,0.15,0.5,3,0.15,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,300,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,"Nordhaus+TraditionalGreenClimateFund+R&DS",7656.38514082708,10465.1007418961,6822.60479899101,2331.36281777589,28843.5413292166,12407.7091729662,NA,NA,NA,NA
1,4201,2112,187.656940191788,260.162251811019,72.6584680016137,81.5688931863923,805.597962333593,1.17968922435677,2.42514970164993,0.708041958131556,1.54650142775992,324.62423411338,4.30646508974809,178.422466376933,0.978189998606984,0.291958041868444,1.31093969142861,113.778790154128,0.503129810061552,86.7917806578392,0.0218100013930164,367.388914217436,1.08058686199328,2.8903764574944,2.9718218677027,1.47230022967888,384.635952584775,11.9060212763091,261.248313918056,0.999987842656315,1.0281781322973,1.36250058321367,133.074690526025,0.588456281506082,97.6694558266882,1.21573436854261e-05,489.073938230612,2.65779486214103,0.25,0.25,0.25,0.25,1,4,319.646824874705,108.173812298962,0.901994203269197,0.89634750857255,492.618037666407,0.980077381942625,1,-0.395298626682921,43.6131009393333,56.3321841690331,1769.00422150384,2441.37989544692,2312,452.90937668711,293.016506008555,233.253315993888,87.610372416537,752.329735155298,0.74694756898254,1.79233738584425,0.64187708653349,1.24817093012493,404.721072328282,1.78967658183566,324.251320520479,0.688080592459971,0.35812291346651,1.67102884051839,225.806299374627,0.998515455834599,135.130103023582,0.311919407540029,630.527371702908,0.518880749868607,3.71419654852988,3.15149910301313,1.12660429281279,878.245156258208,3.8836000809738,779.550692164944,0.944694557941244,0.848500896986868,2.17122005990408,236.456295401445,1.04560973826519,108.904804155085,0.0553054420587558,1114.70145165965,3.17087500244363,0.25,0.25,0.25,0.25,1,4,561.862940924462,248.327615893479,-100,-100,545.886264844702,0.968976471004168,0,-1.08232967518636,0,0,1769.00422150384,2441.37989544692,7036.00865789963,8654.55777259713,6141.76625266456,1915.01207018451,19.9159356938947,19.760456482425,26540.8561437364,39335.419648295,23273.9923918395,8729.40834250154,-1055.78117519906,-1056.04543709523,9.9,225,0.5,2,3,0.15,0,0.5,3,0,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,300,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,"Nordhaus+CoR&DGreenClimateFund",7656.38514082708,10465.1007418961,6822.60479899101,2331.36281777589,28843.5413292166,12407.7091729662,NA,NA,NA,NA
1,4801,2112,187.656999559636,260.162169472334,72.7137277490011,81.4239097298534,813.575081822302,1.1796887241547,2.4251517582351,0.708042133433738,1.54650104620001,324.624297644049,4.30646593254595,178.422545316374,0.978190023589434,0.291957866566262,1.31093992384148,113.778715934152,0.503129481860821,86.7917086549195,0.0218099764105656,367.388898170002,1.02241934665104,3.2286105352538,3.05406280227226,1.43015429950979,482.785291545149,14.9441359144885,286.939316935269,0.999999432534045,0.945937197727744,1.39879424640613,127.103437634393,0.562051401219286,90.8664286838145,5.67465954892654e-07,508.588913551402,2.57621367219611,0.25,0.25,0.25,0.25,1,4,319.646809991336,110.543007735937,0.901998473566926,0.896542784631574,484.640918177697,0.981528535104416,1,-0.312180841922368,42.3110130990587,42.8561617245306,1700.42151730723,1767.82983312972,2312,452.908949524288,293.016848079327,233.291373563451,87.4512298648725,772.730970600989,0.746948625225321,1.79233231684212,0.641876436422541,1.24817156221651,404.720586606749,1.78967443397504,324.250767168613,0.688079782577692,0.358123563577458,1.67102732378681,225.806666991208,0.998517081435123,135.130445670688,0.311920217422308,630.527253597957,0.518192414980589,3.72407052203349,3.15327258952981,1.12628743176128,878.51384559516,3.8847882252218,780.00856692625,0.944884502604852,0.846727410470195,2.17349270116867,235.901506267786,1.04315646071615,108.535679066667,0.055115497395148,1114.41535186295,2.980542519126,0.25,0.25,0.25,0.25,1,4,561.862835681139,248.263880011268,-100,-100,525.485029399011,0.973524392334013,0,-1.04150337129934,0,0,1700.42151730723,1767.82983312972,7036.00810153758,8874.69080451433,6141.76574504771,1936.911509273,19.9159766077691,19.7627778413533,26540.8550000323,40461.681528409,23273.9913426063,8877.12549450871,-1055.78097798888,-1056.03769885282,9.9,225,0.5,2,3,0.15,0,0.5,3,0.15,3,0.001,0.33,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0,0,0.1443,2,45.55074,193.2,27.82166,257.54634,4,5,300,"bcc-csm1-1",4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,"Nordhaus+CoR&DGreenClimateFund+TecS",7656.38514082708,10465.1007418961,6822.60479899101,2331.36281777589,28843.5413292166,12407.7091729662,NA,NA,NA,NA
