Run.ID,Future.ID,time,S,Delta.Temp,CO2.Concentration,alfa,epsilon,size.factor,Eta.re,Eta.ce,Gamma.re,Gamma.ce,Nu.re,Nu.ce,k.re,k.ce,lambda.S,sigma.utility,Climate.Model,Beta.Delta.Temp,CO2.base,CO2.Disaster,Delta.Temp.Disaster,qsi,Delta.S,S.0,policy.name,Cost.S.Damage,policy.status,Policy.Duration,Policy.Start.Time,ce.tax_N,RD.subsidy_N,RD.subsidy.GF_N,Tec.subsidy_N,Tec.subsidy.GF_N,ce.tax_S,RD.subsidy_S,Tec.subsidy_S,dS.lag,rho,Region,Ace,Agg.demand.ce.tech,Agg.demand.re.tech,Are,Consumption,Gamma.ce.t,Gamma.re.t,L,Labor.ce,Labor.re,Price.ce,Price.re,Profits.ce,Profits.re,RelLabor,RelPrice,Utility.Consumer,Y,Yce,Yce.0,Yre,Yre.0,labor.growth,sce,sre
1,1,2037,832.8369204,2.373553474,465.3790796,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,bcc-csm1-1,4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,FWA,0.984813226,1,295,9.9,0,0,0,0,0,0,0,0,-3.77073609,0.001,N,267.6709686,247.4960494,89.55705189,125.3565927,300.3480186,0.25,0.25,1,0.734293939,0.265706061,1.16698434,1.939989009,1.094427531,0.396021283,0.36185245,1.662395066,0.972024712,337.0531013,212.0817229,193.2,46.16369035,45.55074,0,0.667834322,0.332165678
1,1,2037,832.8369204,2.373553474,465.3790796,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,bcc-csm1-1,4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,FWA,0.984813226,1,295,9.9,0,0,0,0,0,0,0,0,-3.77073609,0.001,S,91.40196942,348.8375651,70.91454992,27.8369278,93.51027742,0.25,0.25,4,3.32422449,0.67577551,1.096944925,2.43292528,1.542559713,0.31358414,0.203288169,2.217910147,0.964731147,419.752115,318.0082765,257.54634,29.14785361,27.82166,0,0.773639225,0.226360775
1,1,2042,813.2651787,2.579408012,484.9508213,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,bcc-csm1-1,4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,FWA,0.981473158,1,295,9.9,0,0,0,0,0,0,0,0,-3.976429729,0.001,N,272.1901414,251.8667841,90.10827505,126.3960262,304.7339752,0.25,0.25,1,0.736506296,0.263493704,1.165230297,1.948116293,1.113754919,0.398458792,0.357761645,1.671872331,0.967215352,341.9750591,216.1519355,193.2,46.25405339,45.55074,0,0.671570352,0.328429648
1,1,2042,813.2651787,2.579408012,484.9508213,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,bcc-csm1-1,4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,FWA,0.981473158,1,295,9.9,0,0,0,0,0,0,0,0,-3.976429729,0.001,S,94.84261688,362.3330884,71.93332053,28.37854857,96.74369924,0.25,0.25,4,3.337426805,0.662573195,1.094773108,2.45704474,1.602236917,0.318089143,0.198528158,2.244341519,0.960239477,434.2664089,330.9663763,257.54634,29.27635764,27.82166,0,0.783154992,0.216845008
1,1,2047,792.644135,2.78749883,505.571865,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,bcc-csm1-1,4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,FWA,0.977606019,1,295,9.9,0,0,0,0,0,0,0,0,-4.188088459,0.001,N,276.8117735,256.3416034,90.64944188,127.4320342,309.2037205,0.25,0.25,1,0.738755674,0.261244326,1.163454987,1.956485197,1.13354257,0.400851832,0.353627506,1.681616581,0.962427834,346.9910453,220.3279082,193.2,46.33280232,45.55074,0,0.675395459,0.324604541
1,1,2047,792.644135,2.78749883,505.571865,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,bcc-csm1-1,4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,FWA,0.977606019,1,295,9.9,0,0,0,0,0,0,0,0,-4.188088459,0.001,S,98.34686447,376.0996275,72.878551,28.899643,100.0211137,0.25,0.25,4,3.35071632,0.64928368,1.092599922,2.482062723,1.663112553,0.322268953,0.19377459,2.271703185,0.955746971,448.9781785,344.2244685,257.54634,29.36209078,27.82166,0,0.792628637,0.207371363
1,1,2052,770.9434899,2.997511563,527.2725101,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,bcc-csm1-1,4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,FWA,0.973140946,1,295,9.9,0,0,0,0,0,0,0,0,-4.405847233,0.001,N,281.5391174,260.9238896,91.17998693,128.4641036,313.7597644,0.25,0.25,1,0.741042366,0.258957634,1.161658518,1.965104456,1.15380544,0.403197902,0.349450512,1.691636936,0.95766188,352.1038765,224.6132452,193.2,46.39956245,45.55074,0,0.679311064,0.320688936
1,1,2052,770.9434899,2.997511563,527.2725101,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,bcc-csm1-1,4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,FWA,0.973140946,1,295,9.9,0,0,0,0,0,0,0,0,-4.405847233,0.001,S,101.9157907,390.1414542,73.7509566,29.40018781,103.3436318,0.25,0.25,4,3.364068436,0.635931564,1.090429481,2.50798425,1.72520551,0.32612673,0.189036453,2.299996739,0.951254814,463.8924108,357.7869647,257.54634,29.4064672,27.82166,0,0.802037664,0.197962336
1,1,2057,748.1322641,3.209151758,550.0837359,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,bcc-csm1-1,4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,FWA,0.967993333,1,295,9.9,0,0,0,0,0,0,0,0,-4.629842994,0.001,N,286.3755541,265.6171563,91.69933369,129.4917068,318.4047243,0.25,0.25,1,0.743366634,0.256633366,1.15984103,1.973983143,1.174559065,0.405494454,0.345231215,1.701942845,0.952917172,357.31649,229.0116916,193.2,46.45395987,45.55074,0,0.683318516,0.316681484
1,1,2057,748.1322641,3.209151758,550.0837359,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,bcc-csm1-1,4.997053041,289.4150457,1298.216153,6,0.0100539,0.001822767,915.9700854,FWA,0.967993333,1,295,9.9,0,0,0,0,0,0,0,0,-4.629842994,0.001,S,105.5504415,404.4626686,74.5514216,29.88020354,106.712364,0.25,0.25,4,3.377459468,0.622540532,1.088265653,2.534814481,1.788533921,0.329666386,0.184322132,2.329224003,0.946763914,479.0140902,371.6580298,257.54634,29.41099719,27.82166,0,0.811359406,0.188640594
